Url,Status,Old Site,Old Site Unique, New Site, New Site Unique, Match
?title=Category:Sweden&amp;action=edit&amp;redlink=1,200,0,0,0,0,true
/London_Economics,200,4,3,3,3,false
/SMPM_International,200,12,10,10,10,false
https://tobaccotactics.org/wiki/Category:International-Agencies-and-Regulation,404,0,0
http://178.128.58.116/index.php?title=Talk:Titus_Wouda_Kuipers&amp;action=edit&amp;redlink=1,404,0,0
?title=Associated_Chambers_of_Commerce_and_Industry_of_India&amp;oldid=23463,200,32,26,0,0,false
/EPICENTER,200,34,30,34,30,true
/British_Brands_Group,200,26,16,25,16,false
/Countering_Industry_Arguments_Against_Plain_Packaging:_It_will_Lead_to_Increased_Smuggling,200,36,29,36,29,true
/U.S._Smokeless_Tobacco_Company,200,3,3,2,2,false
?title=Lobby_Groups&amp;oldid=23513,200,32,32,0,0,false
http://178.128.58.116/index.php?title=Talk:Snus&amp;action=edit&amp;redlink=1,404,0,0
https://tobaccotactics.org/wiki/Category:Hospitality,404,0,0
/Lars_Dahlgren,200,2,2,2,2,true
?title=Special:Log&amp;page=User:Editor17,200,0,0,0,0,true
?title=Framework_Convention_on_Tobacco_Control&amp;oldid=23622,200,17,9,0,0,false
?title=Snus&amp;oldid=23923,200,13,11,0,0,false
http://178.128.58.116/index.php?title=Talk:Carlo_Sacchetto&amp;action=edit&amp;redlink=1,404,0,0
/Aspect_Consulting,200,7,7,7,7,true
/Centre_for_Policy_Studies,200,11,11,11,11,true
?title=Special:Categories&amp;offset=&amp;limit=20,200,0,0,0,0,true
?title=Crime_Stoppers_International&amp;amp%3Boldid=23404&amp;printable=yes,200,17,14,0,0,false
/Media_Strategy,200,3,3,3,3,true
/Forest_EU,200,8,7,7,7,false
/Martin_J._Barrington,200,5,5,5,5,true
/Tim_Evans,200,17,9,17,9,true
/Plain_Packaging_in_the_UK:_Tobacco_Company_Opposition,200,49,38,38,38,false
/Nikos_Mertzanidis,200,5,2,3,3,false
/Countering_Industry_Arguments_Against_Plain_Packaging:_It_will_Cost_Small_Businesses,200,6,6,6,6,true
http://178.128.58.116/index.php?title=Talk:Ken_Burnett&amp;action=edit&amp;redlink=1,404,0,0
http://178.128.58.116/index.php?title=New_Direction&amp;action=edit&amp;redlink=1,404,0,0
